cash_flow_id,organization_id,flow_type,direction,amount,currency,frequency,day_rule,next_due_date,counterparty,committed,active
RCF-001,ORG-DEMO-001,PAYROLL,OUTFLOW,3100000.00,INR,MONTHLY,18,2026-09-18,People Operations Payroll,true,true
RCF-002,ORG-DEMO-001,OFFICE_RENT,OUTFLOW,180000.00,INR,MONTHLY,3,2026-09-03,Metro Business Park,true,true
RCF-003,ORG-DEMO-001,GST_PAYMENT,OUTFLOW,220000.00,INR,MONTHLY,20,2026-09-20,India Tax Authority,true,true
RCF-004,ORG-DEMO-001,CLOUD_HOSTING,OUTFLOW,90000.00,INR,MONTHLY,7,2026-09-07,Cloud Infrastructure Vendor,true,true
RCF-005,ORG-DEMO-001,INSURANCE,OUTFLOW,65000.00,INR,MONTHLY,10,2026-09-10,Business Insurance Company,true,true
RCF-006,ORG-DEMO-001,CRM_SUBSCRIPTION,OUTFLOW,28000.00,INR,MONTHLY,12,2026-09-12,CRM Software Vendor,true,true
RCF-007,ORG-DEMO-001,ERP_SUBSCRIPTION,OUTFLOW,42000.00,INR,MONTHLY,14,2026-09-14,ERP Software Vendor,true,true
RCF-008,ORG-DEMO-001,WAREHOUSE_RENT,OUTFLOW,110000.00,INR,MONTHLY,5,2026-09-05,Logistics Park,true,true
RCF-009,ORG-DEMO-001,COURIER,OUTFLOW,35000.00,INR,WEEKLY,4,2026-09-04,National Courier Company,true,true
RCF-010,ORG-DEMO-001,CONTRACTORS,OUTFLOW,175000.00,INR,MONTHLY,15,2026-09-15,Contractor Clearing,true,true
RCF-011,ORG-DEMO-001,LOAN_REPAYMENT,OUTFLOW,250000.00,INR,MONTHLY,30,2026-09-28,Commercial Bank,true,true
RCF-012,ORG-DEMO-001,UTILITIES,OUTFLOW,48000.00,INR,MONTHLY,9,2026-09-09,Utilities Provider,true,true
RCF-013,ORG-DEMO-001,MARKETING,OUTFLOW,120000.00,INR,MONTHLY,22,2026-09-22,Media Buying Partner,true,true
RCF-014,ORG-DEMO-001,SUPPORT_RETAINER,INFLOW,200000.00,INR,MONTHLY,24,2026-09-24,Acme Private Limited,false,true
RCF-015,ORG-DEMO-001,LICENCE_ROYALTY,INFLOW,500000.00,INR,MONTHLY,28,2026-09-28,BluePeak Retail Limited,false,true
